id,name,brand,mount,price,bh_current_price,bh_list_price,bh_savings,sensorSize,megapixels,maxVideoResolution,frameRates,bitDepth,autofocus,autofocusDetails,stabilization,stabilizationDetails,weightGrams,lowLightPerformance,rawVideo,dualSlots,batteryType,batteryMinutes,cardType,cardSlots,bh_rating,bh_ratings_sampled,bh_review_count,bh_in_stock,bh_sku,bh_mfr,bhLink,amazonLink,adoramaLink,bh_image_500,productImage,bh_key_features,bh_description,notablePros,notableCons,primaryUseCases,experienceLevel
canon-r6iii,Canon EOS R6 Mark III,Canon,Canon RF,2799,2799,,,Full Frame,32.5,7K,7K60 (RAW) | 4K120 | 4K60 | 1080p180,"12-bit RAW, 10-bit",excellent,Dual Pixel CMOS AF II with subject detection,True,5-axis IBIS (up to 8.5 stops),699,excellent,True,True,LP-E6P,85,CFexpress Type B,2,3.0,2,38,Yes,CAER63,7084C002,https://www.bhphotovideo.com/c/product/1928858-REG/canon_eos_r6_mark_iii.html,https://www.amazon.com/dp/B0FZVVLR9D,https://www.adorama.com/car6m3.html,,images/canon-r6iii.png,"32.5MP Full-Frame CMOS Sensor | 7K 60p 12-Bit Internal RAW Light Video | Open Gate 7K 30p, High-Speed 4K 120p | Dual Pixel CMOS AF II & Movie Servo AF | performance all-arounder for creatives who work in both photo and video, the **Canon EOS R6 Mark III** deftly combines an array of hybrid capabilities, upgraded imaging, and revised handling and design to suit shooters working in a wide variety of scenarios. A new 32.5MP sensor pairs with DIGIC X processing to offer 7K video recording, up to 40-fps photo shooting, improved Dual Pixel CMOS AF II with Register People Priority, more robust 8.5-stop image stabilization, and the R6 Mark III now also accepts both CFexpress Type B and SD memory cards for flexible file storage. | REG/canon_eos_r6_mark_iii.html/overview)",)  In Stock  $2;799.00  +  Save the Tax‡\\ or Pay$234/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free 2-Day Shipping  Protect Your Gear  Add a protection plan from$119.99  See Options  Style  Body Only\\ \\ $2;799.00  with 24-105mm f/4 Lens\\ \+ $1;250.00  with 24-105mm f/4-7.1 Lens\\ \+ $350.00  Kit Configuration  Base\\ \\ $2;799.00  with Stop Motion Animation Kit\\ \+ $100.00  Trade in your gear for cash\\ \\ Get Started  Video Chat  Chat  Request Callback  Email  800-606-6969  - Overview - [,Internal 7K60 Cinema RAW Light recording with 4K120 capability | Canon Log 3 with approximately 14 stops of dynamic range | 32.5MP full-frame sensor with good high-ISO performance up to ISO 25600+,Canon RF mount has limited third-party autofocus lens options | No built-in ND filters | Higher price point than the R6 Mark II it replaces,wedding | commercial | YouTube/content | documentary | music video,intermediate | advanced | professional
canon-r7,Canon EOS R7,Canon,Canon RF,1499,1449,1649,717,APS-C,32.5,4K,4K60 (crop) | 4K30 | 1080p120,8/10-bit,excellent,Dual Pixel CMOS AF II,True,5-axis IBIS (up to 7 stops),612,average,False,True,LP-E6NH,90,SD UHS-II,2,5.0,2,265,Yes,CAER7,5137C002,https://www.bhphotovideo.com/c/product/1707911-REG/canon_eos_r7_mirrorless_camera.html,https://www.amazon.com/dp/B0B27NSHB5,https://www.adorama.com/car7.html,https://static.bhphoto.com/images/images500x500/1653351620_1707911.jpg,images/canon-r7.png,"32.5MP APS-C CMOS Sensor | Dual Pixel CMOS AF II | 4K60 10-Bit Video, HDR-PQ & C-Log 3 | 30 fps E. Shutter, 15 fps Mech. Shutter | C with the mirrorless R system. Featuring a 32.5MP CMOS sensor and DIGIC X processing, this sleek powerhouse is capable of high-speed 30 fps shooting for sports and wildlife and features the renowned Dual Pixel CMOS AF II focusing system to keep up with and track fast-moving subjects. And, for the multimedia image-maker, 4K video is supported at up to 60p, or 30p when oversampled from a 7K area, as well as Full HD at up to 120 fps. | REG/canon_eos_r7_mirrorless_camera.html/overview)",)  In Stock  $1;449.00  ~~$1;649.00~~  Instant Savings$200.00  +  Save the Tax‡\\ or Pay$121/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1 Free Item Included ($69.99)  1  Add to Cart  Add to Wish List  Free Next Day Delivery  Protect Your Gear  Add a protection plan from$93.99  See Options  Used from$1;245.95  Lens Options  No Lens\\ \\ $1;449.00  18-150mm f/3.5-6.3\\ \+ $500.00  Kit Options See Kits & Details  ![\\ No Kit\\ \\ $1;449.00](https://www.bhphotovideo.com/c/product/1707911-REG/canoneosr7mirrorlesscamera.html)  ![\\ Essentials+\\ \+ $161.94](https://www.bhphotovideo.com/c/product/1907304-REG/canoneosr7mirrorlesscamera.html)  ![\\ Cropping Guide Firmware Kit\\ \+ $120.00](https://www.bhphotovideo.com/c/product/1868804-REG/canon5137c098eosr7m,"Effective IBIS combined with Dual Pixel CMOS AF II for action and documentary | 32.5MP APS-C sensor produces detailed stills alongside 4K video | Entry point into Canon RF ecosystem at $1,499",Visible noise above ISO 3200 due to APS-C sensor size | 4K60 applies an additional crop beyond the standard 1.6x | Limited selection of native APS-C RF-S lenses,documentary | wedding | YouTube/content | social media,beginner | intermediate | advanced
canon-r8,Canon EOS R8,Canon,Canon RF,1499,1449,1649,717,Full Frame,24.2,4K,4K60 (crop) | 4K30 | 1080p180,8/10-bit,excellent,Dual Pixel CMOS AF II,False,,461,good,False,False,LP-E17,80,SD UHS-II,1,5.0,2,141,Yes,CAER8,5803C002,https://www.bhphotovideo.com/c/product/1748813-REG/canon_eos_r8_mirrorless_camera.html,https://www.amazon.com/dp/B0BVBKWG6C,https://www.adorama.com/car8.html,https://static.bhphoto.com/images/images500x500/1675811123_1748813.jpg,images/canon-r8.png,"24.2MP Full-Frame CMOS Sensor | 4K60p 10-Bit Internal Video, Canon Log 3 | 2.36m-Dot OLED Electronic Viewfinder | 3.0"" 1.62m-Dot Vari-Angle Touchscreen | friendly, full-frame camera body, the **Canon EOS R8 Mirrorless Camera** offers powerful photo and video capabilities for both photographers and multimedia content creators. Utilizing a newly developed sensor also found in the EOS R6 Mark II, the R8 features a 24.2MP CMOS sensor paired with a DIGIC X processor. Together, this combination provides outstanding stills performance, impressive 4K 60p 10-bit video, and fast autofocus. | REG/canon_eos_r8_mirrorless_camera.html/overview)",)  In Stock  $1;449.00  ~~$1;649.00~~  Instant Savings$200.00  +  Save the Tax‡\\ or Pay$121/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free Next Day Delivery  Protect Your Gear  Add a protection plan from$93.99  See Options  Used from$1;245.95  Lens Options  No Lens\\ \\ $1;449.00  24-50mm f/4.5-6.3 IS STM\\ \+ $200.00  Kit Options See Kits & Details  ![\\ No Kit\\ \\ $1;449.00](https://www.bhphotovideo.com/c/product/1748813-REG/canoneosr8mirrorlesscamera.html)  ![\\ Essentials+\\ \+ $147.89](https://www.bhphotovideo.com/c/product/1907302-REG/canoneosr8mirrorlesscamera.html)  ![\\ Content Creation Kit\\ \\ —](https://www.bhphotovideo.com/c/product/1773615-REG/canon5803c037eosr8contentcreator.html)  ![\\ Cropping Gui,"Full-frame 24.2MP sensor with Canon Dual Pixel CMOS AF II for under $1,500 | 461g body, one of the lightest full-frame cameras available | Canon Log 3 and 10-bit 4:2:2 internal recording",No in-body image stabilization | Single SD card slot | 4K60 applies a significant 1.6x crop,YouTube/content | social media | vlogging | wedding,beginner | intermediate
canon-r50,Canon EOS R50,Canon,Canon RF,679,679,779,587,APS-C,24.2,4K,4K30 (crop) | 1080p120,8-bit,good,Dual Pixel CMOS AF,False,,375,average,False,False,LP-E17,50,SD UHS-II,1,5.0,2,97,Yes,CAER50,5811C002,https://www.bhphotovideo.com/c/product/1748810-REG/canon_eos_r50_mirrorless_camera.html,https://www.amazon.com/dp/B0BVD3BPGX,https://www.adorama.com/car50.html,https://static.bhphoto.com/images/images500x500/1675811427_1748810.jpg,images/canon-r50.png,24.2MP APS-C CMOS Sensor | DIGIC X Image Processor | UHD 4K 30p Video Recording | Dual Pixel CMOS AF II with 651 Zones | C CMOS sensor and DIGIC X image processor to deliver high-resolution stills and UHD 4K videos. | REG/canon_eos_r50_mirrorless_camera.html/overview),)  In Stock  $679.00  ~~$779.00~~  Instant Savings$100.00  +  Save the Tax‡\\ or Pay$57/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free Next Day Delivery  Protect Your Gear  Add a protection plan from$62.99  See Options  Color  ![\\ Black\\ \\ $679.00](https://www.bhphotovideo.com/c/product/1748810-REG/canoneosr50mirrorlesscamera.html)  ![\\ White\\ \+ $0](https://www.bhphotovideo.com/c/product/1750099-REG/canon5812c002eosr50mirrorlesscamera.html)  Lens Options  No Lens\\ \\ $679.00  18-45mm f/4.5-6.3\\ \+ $120.00  18-45mm & 50mm\\ \+ $339.00  18-45mm & 55-210mm\\ \+ $370.00  Kit Options See Kits & Details  ![\\ No Kit\\ \\ $679.00](https://www.bhphotovideo.com/c/product/1748810-REG/canoneosr50mirrorlesscamera.html),Most affordable Canon RF-mount camera at $679 | 375g compact body with guided menus for new users | 4K30 and Dual Pixel CMOS AF at an entry-level price,"8-bit 4:2:0 only, minimal latitude for color grading | No IBIS and no log color profile | LP-E17 battery provides limited recording time, about 50 min continuous",YouTube/content | social media | vlogging,beginner
canon-c70,Canon EOS C70,Canon,Canon RF,5499,3499,4799,,Super 35,8.85,4K,4K120 | 4K60,10/12-bit RAW,excellent,Dual Pixel CMOS AF II,False,,1170,good,True,True,BP-A30,120,SD UHS-II,2,5.0,2,88,Yes,CAEC70,4507C002,https://www.bhphotovideo.com/c/product/1595392-REG/canon_eos_c70_cinema_camera.html,https://www.amazon.com/dp/B08KSFKG9L,https://www.adorama.com/cac70.html,,images/canon-c70.png,"Super35 Dual Gain Output (DGO) Sensor | DCI 4K 60p, Hi-Speed UHD 4K 120p/2K 180p | Canon Log 2, 3, PQ & HLG HDR Recording | RF Lens Mount / EF with Optional Adapter | style body, the Canon EOS C70 Cinema Camera features a Super35 DGO (Dual Gain Output) sensor for capturing nuanced images with up to 16+ stops of high dynamic range. The EOS C70 is the first Cinema EOS camera with an RF mount that enables you to use Canon's line of fast, reliable RF lenses with advanced coatings and image stabilization.The innovative DGO system combines two separate gain readings for each photodiode on the sensor, emphasizing saturation in bright areas of your image and lowering noise in darker areas. | REG/canon_eos_c70_cinema_camera.html/overview)",)  In Stock  $3;499.00  ~~$4;799.00~~  Instant Savings$1;300.00  +  Save the Tax‡\\ or Pay$292/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free 2-Day Shipping  Protect Your Gear  Add a protection plan from$155.99  See Options  Used from$3;008.95  Configuration  Camera Body Only\\ \\ $3;499.00  With 24-70mm f/2.8 Lens\\ \+ $2;300.00  With 24-105mm f/2.8 Lens\\ \+ $3;100.00  With 24-105mm f/4 Lens\\ \+ $1;250.00  With 24-105mm f/2.8 Lens & PZ-E2B Adapt.\\ \+ $4;450.00,"Built-in ND filters with 2, 4, 6, 8, and 10 stop positions | Dual Gain Output (DGO) sensor provides 16+ stops of dynamic range | Compact cinema body at 1,170g with Dual Pixel CMOS AF II","Super 35 sensor only, no full-frame option | Cinema RAW Light added via firmware but limited to lower resolutions | SD card slots only, no CFexpress",documentary | commercial | wedding | narrative film | music video,advanced | professional
canon-c80,Canon EOS C80,Canon,Canon RF,5999,5499,5849,,Full Frame,45,6K,6K30 (RAW) | 4K120 | 4K60,"12-bit (RAW), 10-bit",excellent,Dual Pixel CMOS AF II,True,5-axis IBIS,1060,good,True,True,BP-A30,100,CFexpress Type B,2,5.0,2,27,Yes,CAEC80,6389C002,https://www.bhphotovideo.com/c/product/1851537-REG/canon_eos_c80_cinema_camera.html,https://www.amazon.com/dp/B0DCX5XP2Y,https://www.adorama.com/cac80.html,,images/canon-c80.png,"6K FF Back-Illuminated CMOS Sensor | 6K30, DCI 4K/2K, UHD 4K120 S35 Recording | Full Frame and Super35 Modes | 12G-SDI and HDMI Simultaneous Output | frame capture in a compact form, the **Canon EOS C80 6K Full-Frame Cinema Camera** melds the EOS C400's CMOS sensor with a lightweight design similar to the EOS C70. Ideal for fast-paced capture and solo operators, this digital camera features triple ISO bases of 800, 3200, and 12,800 in log/raw, upgraded Dual Pixel CMOS AF II autofocus, and simultaneous 12G-SDI and HDMI video output. The EOS C80's RF mount provides compatibility with fast, reliable Canon RF lenses, and a motorized ND filter wheel enables on-the-fly exposure tweaking. | REG/canon_eos_c80_cinema_camera.html/overview)",)  In Stock  $5;499.00  ~~$5;849.00~~  Instant Savings$350.00  +  Save the Tax‡\\ or Pay$459/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free Next Day Delivery  Protect Your Gear  Add a protection plan from$179.99  See Options  Configuration  Base\\ \\ $5;499.00  RF 24-105mm f/2.8 L IS USM Zoom Lens\\ \+ $3;100.00  24mm & 50mm f/1.4 L VCM Prime Lenses\\ \+ $3;048.00  RF 24-70mm f/2.8 L IS USM Zoom Lens\\ \+ $2;500.00  24-70mm f/2.8; 24mm & 50mm f/1.4 Lenses\\ \+ $5;847.00  24-105mm f/2.8; 24mm & 50mm f/1.4 Lenses\\ \+ $6;448.00,Full-frame Cinema RAW Light internal recording at up to 6K | Built-in ND filters and IBIS in a dedicated cinema body | 6K oversampled 4K with Canon Log 3 color science,"Mini XLR audio inputs only, no full-size XLR | RAW files are very large (requires fast, high-capacity media) | $500 more than the C70 which may suffice for Super 35 workflows",commercial | documentary | narrative film | music video | wedding,advanced | professional
panasonic-s5iix,Panasonic Lumix S5 IIX,Panasonic,Leica L,2199,1997,2200,587,Full Frame,24.2,6K,6K30 | 4K120 | 4K60 | 1080p180,8/10-bit,good,Phase-detect AF with subject detection,True,5-axis IBIS + Dual I.S. 2,740,good,True,True,DMW-BLK22,90,SD UHS-II,2,4.5,2,37,Yes,PADCS5M2XAK,,https://www.bhphotovideo.com/c/product/1795803-REG/panasonic_lumix_s5_iix_mirrorless.html,https://www.amazon.com/dp/B0BS1KRN8Y,https://www.adorama.com/pcs5m2x.html,https://static.bhphoto.com/images/images500x500/1672825656_1743629.jpg,images/panasonic-s5iix.png,Memory Card | optimized full-frame mirrorless camera with a camera bag and a memory card. | REG/panasonic_lumix_s5_iix_mirrorless.html/overview),)  In Stock  $1;997.99  ~~$2;200.99~~  Instant Savings$203.00  +  Save the Tax‡\\ or Pay$167/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free Next Day Delivery  Protect Your Gear  Add a protection plan from$95.99  See Options  Lens Options  No Lens\\ \\ $1;997.99  16-35mm f/4\\ \+ $1;497.99  50mm f/1.8\\ \+ $497.99  20-60mm f/3.5-5.6\\ \+ $300.00  24-60mm f/2.8\\ \+ $800.00  24-60mm f/2.8 & 50mm f/1.8\\ \\ —  Kit Options  No Kit\\ \+ $0  Basic Bundle\\ \\ $1;997.99  Essentials+\\ \+ $270.47  Trade in your gear for cash\\ \\ Get Started  Savings Available:  Save Up to $587.50  Build Bundle  Video Chat  Chat  Request Callback  Email  800-606-6969  - Overview - [,"Internal Apple ProRes recording, uncommon at this price | Dual native ISO at 640/4000 for flexible exposure in mixed lighting | 6K open-gate recording for reframing flexibility in post","Phase-detect AF is less reliable than Sony or Canon equivalents | L-mount lens selection is smaller than E or RF mount | SD card slots only, no CFexpress",commercial | documentary | wedding | YouTube/content | music video | narrative film,intermediate | advanced | professional
panasonic-s5ii,Panasonic Lumix S5 II,Panasonic,Leica L,1999,69,104,,Full Frame,24.2,6K,6K30 | 4K60 | 1080p180,8/10-bit,good,Phase-detect AF,True,5-axis IBIS (6.5 stops),740,good,False,True,DMW-BLK22,90,SD UHS-II,2,4.5,2,5,No,NEMS305100,MS305-100NAS,https://www.bhphotovideo.com/c/product/1746498-REG/panasonic_dc_s5m2body_lumix_s5_ii_mirrorless.html,https://www.amazon.com/dp/B0BS1C53HB,https://www.adorama.com/pcs5m2.html,,images/panasonic-s5ii.png,"5 x 2.5Gb Ethernet Ports | 25 Gb/s Switching Capacity | 3.72 Mpps Forwarding Rate | Desktop & Wall Mountable | Port 2.5Gb Ethernet Unmanaged Switch** from **Netgear**. This unmanaged network switch integrates into your network without requiring any complicated configuring. Its five Ethernet ports each support up to 2.5Gb transfer rates with compatible computers, servers, network storage drives, and other devices. The 25 Gb/s switching capacity and 3.72 Mpps forwarding rate help to ensure smooth data transfers. This compact switch may be mounted onto a desktop or wall, and its fanless design allows it to operate silently in the background. | REG/netgear_ms305_100nas_5_port_multi_gigabit_ethernet_unmanaged.html/overview)",)  Temporarily Out of Stock  $69.99  ~~$104.99~~  Instant Savings$35.00  +  Save the Tax‡\\ when you use the Payboo credit card. Learn More  Request Assistance  Add to Wish List  Free 2-Day Shipping  Ports  5  8  Shipping Restrictions  Sales and Export of this item to China; Hong Kong; Russia; and Venezuela are prohibited.  Chat  Request Callback  Email  800-606-6969  - Overview - [,"Full-frame sensor with phase-detect AF for under $2,000 | Dual native ISO (640/4000) with V-Log for wide dynamic range grading | Effective 5-axis IBIS rated for up to 6.5 stops of compensation",No 4K120 recording | No internal ProRes recording (available on S5 IIX) | AF can hunt in low-contrast or backlit situations,wedding | YouTube/content | documentary | commercial,intermediate | advanced
panasonic-gh7,Panasonic Lumix GH7,Panasonic,Micro Four Thirds,2199,1797,2197,587,Micro Four Thirds,25.2,5.7K,5.7K30 | 4K120 | 4K60 | 1080p240,10/12-bit RAW,good,Phase-detect AF,True,5-axis IBIS,805,average,True,True,DMW-BLK22,80,CFexpress Type B,2,5.0,2,28,Yes,PADCGH7B,DC-GH7BODY,https://www.bhphotovideo.com/c/product/1832646-REG/panasonic_dc_gh7body_lumix_gh7_mirrorless_camera.html,https://www.amazon.com/dp/B0D8BQXJLC,https://www.adorama.com/pcgh7.html,https://static.bhphoto.com/images/images500x500/1717605931_1832646.jpg,images/panasonic-gh7.png,"25.2MP BSI CMOS Micro Four Thirds Sensor | 4K60 4:2:2 10-Bit Unlimited Recording | 5.7K60, 4K120 HFR, FHD 240p VFR | ProRes RAW, 32-Bit Float, 13+ Stop WDR | bit float recording with the optional DMW-XLR2 audio interface, Adobe Cloud Frame.io compatibility, versatile Open Gate framing, and real-time custom LUTs. This flagship update to the powerful GH6 retains all the valuable existing features, including the same compact form factor, a 25.2MP sensor, 5.7K30 Apple ProRes 422 HQ internal recording, improved Phase Hybrid AF, a 13+ stop dynamic range boost, and 5-axis stabilization to accommodate indie film, pro/consumer photography, documentary, or even as a B-camera in high-end productions. | REG/panasonic_dc_gh7body_lumix_gh7_mirrorless_camera.html/overview)",)  In Stock  $1;797.99  ~~$2;197.99~~  Instant Savings$400.00  +  Save the Tax‡\\ or Pay$150/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free Next Day Delivery  Protect Your Gear  Add a protection plan from$95.99  See Options  Used for$1;653.95  Lens Options  No Lens\\ \\ $1;797.99  9mm f/1.7\\ \+ $547.99  10-25mm f/1.7\\ \+ $1;897.99  12-35mm f/2.8\\ \+ $997.99  12-60mm f/2.8-4\\ \\ —  Kit Options See Kits & Details  ![\\ No Kit\\ \\ $1;797.99](https://www.bhphotovideo.com/c/product/1832646-REG/panasonicdcgh7bodylumixgh7mirrorlesscamera.html)  ![\\ Basic Bundle\\ \+ $0](https://www.bhphotovideo.com/c/product/1865999-REG/panasoniclumixgh7mirrorlesscamera.html)  ![\\ Essentials+\\ \+ $192.48](https://www.bhphotovideo.c,"Internal Apple ProRes and ProRes RAW recording at $2,199 | 4K120 with 5-axis IBIS for stabilized slow-motion handheld shots | CFexpress Type B card slot for high-bitrate recording","Micro Four Thirds sensor has limited low-light performance and shallower depth of field | 2x crop factor significantly narrows field of view | 805g, heavy for a Micro Four Thirds body",documentary | commercial | YouTube/content | music video | narrative film,intermediate | advanced | professional
panasonic-gh6,Panasonic Lumix GH6,Panasonic,Micro Four Thirds,1499,,,,Micro Four Thirds,25.2,5.7K,5.7K60 | 4K120 | 4K60 | 1080p240,8/10-bit,basic,Contrast-detect AF,True,5-axis IBIS,739,average,False,True,DMW-BLK22,80,CFexpress Type B,2,,0,,,SA85QMN,LH85QMNEBGC,https://www.bhphotovideo.com/c/product/1687599-REG/panasonic_dc_gh6body_lumix_gh6_mirrorless_camera.html,https://www.amazon.com/dp/B09SHDFWXY,https://www.adorama.com/pcgh6.html,,images/panasonic-gh6.png,,-,"5.7K60 and 4K120 recording at $1,499 | Internal ProRes and ProRes HQ recording | Active cooling enables unlimited continuous recording","Contrast-detect AF only, no phase detection | Micro Four Thirds sensor with 2x crop and limited high-ISO performance | The newer GH7 adds phase-detect AF for $700 more",YouTube/content | documentary | commercial | music video,intermediate | advanced
panasonic-g9ii,Panasonic Lumix G9 II,Panasonic,Micro Four Thirds,1799,1497,1897,587,Micro Four Thirds,25.2,5.7K,5.7K30 | 4K120 | 4K60 | 1080p240,8/10-bit,good,Phase-detect AF,True,5-axis IBIS + Dual I.S. 2 (8 stops),658,average,False,True,DMW-BLK22,80,SD UHS-II,2,5.0,2,54,Yes,PADCG92,DC-G9M2BODY,https://www.bhphotovideo.com/c/product/1786235-REG/panasonic_lumix_g9ii_g9_ii.html,https://www.amazon.com/dp/B0BS1NXFQP,https://www.adorama.com/pcg9m2.html,https://static.bhphoto.com/images/images500x500/1694511982_1786235.jpg,images/panasonic-g9ii.png,"25.2MP Live MOS Micro Four Thirds Sensor | C4K/4K 60p 4:2:2 10-Bit Video Recording | 100MP Handheld High-Res Mode | 5-Axis Sensor Stabilization; Dual I.S. 2 | series LUMIX camera to offer Phase Hybrid AF for fast and precise autofocusing performance, the G9 II utilizes new AI-powered recognition technology for real-time auto-focus recognition that now recognizes cars, motorcycles, and animal eyes for improved precision in subject recognition. The camera also boasts 75 fps burst shooting with a pre-burst shooting function, which allows you to go back in time up to 1.5 seconds, so you can capture the perfect moment. | REG/panasonic_lumix_g9ii_g9_ii.html/overview)",)  In Stock  $1;497.99  ~~$1;897.99~~  Instant Savings$400.00  +  Save the Tax‡\\ or Pay$125/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free Next Day Delivery  Protect Your Gear  Add a protection plan from$95.99  See Options  Used for$1;317.95  Lens Options  No Lens\\ \\ $1;497.99  25mm f/1.7\\ \\ —  12-35mm f/2.8\\ \\ —  12-60mm f/2.8-4\\ \+ $600.00  Kit Options See Kits & Details  ![\\ No Kit\\ \\ $1;497.99](https://www.bhphotovideo.com/c/product/1786235-REG/panasoniclumixg9iig9ii.html)  ![\\ Basic Bundle\\ \\ —](https://www.bhphotovideo.com/c/product/1864813-REG/panasoniclumixg9iimirrorless.html)  ![\\ Essentials+\\ \+ $285.47](https://www.bhphotovideo.com/c/product/1864809-REG/panasoniclumixg9iimirrorless.html),Phase-detect AF in a Micro Four Thirds body | 5-axis IBIS with Dual I.S. 2 support for up to 8 stops of compensation | 100fps burst shooting with 25MP resolution for action photography,No internal ProRes recording | MFT sensor limits high-ISO performance compared to APS-C and full frame | SD card slots only,documentary | YouTube/content | wedding | commercial,intermediate | advanced
blackmagic-pocket4k,Blackmagic Pocket Cinema Camera 4K,Blackmagic,Micro Four Thirds,1295,1185,,25,Micro Four Thirds,8.8,4K DCI,4K DCI 60 | 4K30 | 1080p120,12-bit RAW,manual only,,False,,722,poor,True,True,LP-E6,60,CFast 2.0,2,5.0,2,324,Yes,BL4KPKCAM,CINECAMPOCHDMFT4K,https://www.bhphotovideo.com/c/product/1401512-REG/blackmagic_design_pocket_cinema_camera_4k.html,https://www.amazon.com/dp/B07C5MFN1Z,https://www.adorama.com/bmpccam4k.html,,images/blackmagic-pocket4k.png,"4/3""-Sized HDR Sensor | DCI 4K60, 2.8K80 Raw in 4:3 Anamorphic | Dual Native 400/3200 ISO / up to 25,600 | Blackmagic RAW and ProRes RAW/RAW HQ | squeeze preview is available for 4:3 recording as well as a 1.33x de-squeeze option. Slow-motion rates up to 120 fps are available in 2.6K raw for Super16 lenses and in cropped Full HD. The 6.6 update makes operating easier with support for the Pocket Battery Grip and a built-in horizon level function. Further 6.6 update features include support for additional languages, USB PTP control, customizable frame guides, an up to 8x pinch-to-zoom function, the ability to embed custom LUTs as metadata in Blackmagic RAW, and more. | REG/blackmagic_design_pocket_cinema_camera_4k.html/overview)",")  In Stock  $1;185.00  +  Save the Tax‡\\ or Pay$99/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free 2-Day Shipping  Protect Your Gear  Add a protection plan from$95.99  See Options  Used from$947.95  Configuration  Base\\ \\ $1;185.00  5.2"" HDMI Monitor\\ \+ $410.00  Battery Kit + Two 128GB Cards\\ \+ $110.00  Savings Available:  Save Up to $25.99  Build Bundle  Video Chat  Chat  Request Callback  Email  800-606-6969  - Overview - [","Internal 12-bit Blackmagic RAW recording at $1,295 | 5-inch 1080p touchscreen with on-screen tools (focus peaking, false color, waveforms) | DaVinci Resolve Studio license included ($295 value)","No autofocus, manual focus only | LP-E6 battery lasts approximately 45-60 minutes of continuous recording | No in-body stabilization",narrative film | music video | short film | documentary,intermediate | advanced | professional
blackmagic-pocket6kg2,Blackmagic Pocket Cinema Camera 6K G2,Blackmagic,Canon EF,1995,2375,,,Super 35,21.2,6K,6K50 | 4K60 | 2.8K120,12-bit RAW,manual only,,False,,900,average,True,True,LP-E6,60,CFast 2.0,2,4.0,2,26,Yes,BL6KPKCAMG2,CINECAMPOCHDEF6K2,https://www.bhphotovideo.com/c/product/1713293-REG/blackmagic_design_pocket_cinema_camera_6k.html,https://www.amazon.com/dp/B09MFKYYXS,https://www.adorama.com/bmpcc6kg2.html,https://static.bhphoto.com/images/images500x500/1676539522_1713293.jpg,images/blackmagic-pocket6kg2.png,"Super 35 HDR Sensor, Gen 5 Color Science | Canon Active EF Mount, Mini XLR Inputs | 5"" Tilting LCD Touchscreen | Does Not Have Internal ND Filters | style camera features the same 6K S35 sensor, recording features, dynamic range, interface ports, and controls as the 6K Pro, but pares a few features to create a more affordable form. Features inherited from the 6K Pro include a 5"" tilting touchscreen LCD, Pro EVF, and battery grip options, dual mini-XLR audio inputs, an NP-F570 L-series battery slot, and the updated Gen 5 color science. By eliminating the internal ND filters and reducing the LCD brightness compared to the 6K Pro model, Blackmagic now enables users to choose between two near identical 6K models that best suits their priorities. | REG/blackmagic_design_pocket_cinema_camera_6k.html/overview)",)  In Stock  $2;375.00  +  Save the Tax‡\\ or Pay$198/mo.suggested payments for 12 Mos.§when you use the Payboo credit card. Learn More  1  Add to Cart  Add to Wish List  Free 2-Day Shipping  Protect Your Gear  Add a protection plan from$119.99  See Options  Used from$1;849.95  Kit Options See Kits & Details  ![\\ No Kit\\ \\ $2;375.00](https://www.bhphotovideo.com/c/product/1713293-REG/blackmagicdesignpocketcinemacamera6k.html)  ![\\ Monitor Control Kit\\ \+ $424.00](https://www.bhphotovideo.com/c/product/1925714-REG/blackmagicdesignpocketcinemacamera6k.html)  Video Chat  Chat  Request Callback  Email  800-606-6969  - Overview - [,"Internal 6K Blackmagic RAW recording for under $2,000 | Canon EF mount provides access to decades of cinema and photo lenses | 13 stops of measured dynamic range","Canon EF mount with no electronic autofocus support, manual focus only | LP-E6 battery provides approximately 45-60 minutes of recording | No in-body stabilization or autofocus system",narrative film | music video | commercial | documentary | short film,intermediate | advanced | professional
